,Date_rank,Google_rank
0,0,6
1,1,20
2,2,12
3,3,23
4,4,42
5,5,31
6,6,13
7,7,52
8,8,49
9,9,54
10,10,55
11,11,50
12,12,51
13,13,53
14,14,27
15,15,26
16,16,21
17,17,58
18,18,28
19,19,37
20,20,2
21,21,45
22,22,25
23,23,56
24,24,34
25,25,75
26,26,67
27,27,73
28,28,39
29,29,24
30,30,19
31,31,4
32,32,22
33,33,71
34,34,29
35,35,74
36,36,57
37,37,65
38,38,33
39,39,72
40,40,30
41,41,70
42,42,36
43,43,8
44,44,76
45,45,38
46,46,35
47,47,32
48,48,7
49,49,69
50,50,59
51,51,40
52,52,77
53,53,9
54,54,41
55,55,10
56,56,11
57,57,64
58,58,61
59,59,68
60,60,66
61,61,63
62,62,62
63,63,60
64,64,5
65,65,1
66,66,3
67,67,14
68,68,15
69,69,16
70,70,17
71,71,18
72,72,43
73,73,44
74,74,46
75,75,47
76,76,48
